league_short_name;name;short_name;is_selected;scorings
WBBL;Season 1;S.1;False;-1:0\n0:1\n1:3
WBBL;Season 2;S.2;False;-1:0\n0:1\n1:3
BBLM;Preseason 1;Pre.1;False;-1:0\n0:1\n1:3
BBLM;Season 1;S.1;False;-2:1\n-1:2\n0:3\n1:4\n2:5
BBLM;Season 2;S.2;False;-2:1\n-1:2\n0:3\n1:4\n2:5
BBLM;Season 3;S.3;False;-2:1\n-1:2\n0:3\n1:4\n2:5
BBLM;Season 5;S.5;False;-2:1\n-1:2\n0:3\n1:4\n2:5
BBLM;Season 4;S.4;False;-2:1\n-1:2\n0:3\n1:4\n2:5
BBLM;Season 6;S.6;False;-2:1\n-1:2\n0:3\n1:4\n2:5
BBLM;Season 7;S.7;True;-2:1\n-1:2\n0:3\n1:4\n2:5
